3.04 -23.110258 -22.114666 -21.142738 -20.218563 -19.397825 -18.777820 -18.448595 -18.304178 -18.258623
3.07 -23.074876 -22.079343 -21.107217 -20.181075 -19.356092 -18.728422 -18.386109 -18.223119 -18.174371
3.10 -23.039474 -22.044007 -21.071728 -20.143703 -19.314558 -18.678848 -18.321284 -18.139549 -18.088603
3.13 -23.003822 -22.008435 -21.036062 -20.106244 -19.273016 -18.628770 -18.253688 -18.054069 -18.001915
3.16 -22.967659 -21.972367 -20.999976 -20.068468 -19.231226 -18.577838 -18.183087 -17.967367 -17.914897
3.19 -22.930695 -21.935519 -20.963205 -20.030123 -19.188914 -18.525705 -18.109488 -17.880139 -17.828090
3.22 -22.892621 -21.897587 -20.925467 -19.990944 -19.145790 -18.472053 -18.033137 -17.793021 -17.741957
3.25 -22.853128 -21.858267 -20.886479 -19.950664 -19.101559 -18.416621 -17.954481 -17.706558 -17.656874
3.28 -22.811920 -21.817270 -20.845971 -19.909029 -19.055948 -18.359233 -17.874107 -17.621192 -17.573138
3.31 -22.768741 -21.774343 -20.803708 -19.865816 -19.008721 -18.299817 -17.792671 -17.537275 -17.490983
3.34 -22.723389 -21.729293 -20.759508 -19.820852 -18.959704 -18.238420 -17.710838 -17.455082 -17.410598
3.37 -22.675744 -21.682000 -20.713259 -19.774026 -18.908807 -18.175200 -17.629235 -17.374836 -17.332146
3.40 -22.625776 -21.632438 -20.664930 -19.725303 -18.856031 -18.110421 -17.548426 -17.296724 -17.255779
3.43 -22.573556 -21.580677 -20.614583 -19.674734 -18.801475 -18.044424 -17.468905 -17.220913 -17.181643
3.46 -22.519248 -21.526882 -20.562364 -19.622448 -18.745328 -17.977606 -17.391088 -17.147560 -17.109889
3.49 -22.463104 -21.471302 -20.508499 -19.568649 -18.687858 -17.910392 -17.315327 -17.076812 -17.040665
3.52 -22.405444 -21.414253 -20.453276 -19.513602 -18.629391 -17.843206 -17.241909 -17.008807 -16.974113
3.55 -22.346630 -21.356095 -20.397026 -19.457615 -18.570287 -17.776458 -17.171070 -16.943669 -16.910366
3.58 -22.287052 -21.297212 -20.340104 -19.401020 -18.510922 -17.710521 -17.102997 -16.881505 -16.849538
3.61 -22.227098 -21.237991 -20.282871 -19.344158 -18.451661 -17.645729 -17.037832 -16.822395 -16.791714
3.64 -22.167142 -21.178802 -20.225672 -19.287358 -18.392851 -17.582368 -16.975675 -16.766392 -16.736954
