downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   4.0    1.874D-13 4.014D-13 1.329D-12 1.445D-11 0.000D+00 3.109D-11 3.884D-12 7.242D-13 1.484D-13 2.688D-14
   5.0    1.169D-14 2.305D-14 8.252D-14 4.878D-13 7.971D-12 0.000D+00 2.372D-11 2.797D-12 4.744D-13 8.303D-14
   6.0    5.200D-16 9.789D-16 3.402D-15 1.900D-14 1.848D-13 4.403D-12 0.000D+00 1.790D-11 1.977D-12 2.844D-13
   7.0    1.637D-17 3.148D-17 1.024D-16 5.620D-16 4.728D-15 7.123D-14 2.456D-12 0.000D+00 1.342D-11 1.360D-12
   8.0    3.851D-19 7.286D-19 2.384D-18 1.223D-17 1.002D-16 1.249D-15 2.805D-14 1.387D-12 0.000D+00 1.019D-11
   9.0    6.093D-21 1.146D-20 3.689D-20 1.866D-19 1.440D-18 1.734D-17 3.200D-16 1.115D-14 8.083D-13 0.000D+00

   temperature cinetique=   420.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.137D-11 7.518D-12 2.454D-12 5.476D-13 1.364D-13 3.350D-14 7.867D-15 1.831D-15 3.742D-16
   1.0    9.143D-11 0.000D+00 5.461D-11 8.769D-12 2.529D-12 5.808D-13 1.362D-13 3.270D-14 7.494D-15 1.522D-15
   2.0    1.506D-11 4.949D-11 0.000D+00 5.033D-11 7.251D-12 1.805D-12 4.115D-13 9.251D-14 2.135D-14 4.269D-15
   3.0    2.773D-12 4.484D-12 2.840D-11 0.000D+00 4.180D-11 5.659D-12 1.222D-12 2.705D-13 5.839D-14 1.152D-14
   4.0    2.392D-13 4.998D-13 1.582D-12 1.616D-11 0.000D+00 3.303D-11 4.251D-12 8.161D-13 1.720D-13 3.196D-14
   5.0    1.645D-14 3.171D-14 1.087D-13 6.041D-13 9.123D-12 0.000D+00 2.542D-11 3.094D-12 5.409D-13 9.728D-14
   6.0    8.193D-16 1.507D-15 5.025D-15 2.644D-14 2.380D-13 5.152D-12 0.000D+00 1.934D-11 2.210D-12 3.274D-13
   7.0    2.921D-17 5.495D-17 1.715D-16 8.890D-16 6.938D-15 9.525D-14 2.936D-12 0.000D+00 1.460D-11 1.532D-12
   8.0    7.883D-19 1.460D-18 4.589D-18 2.224D-17 1.695D-16 1.930D-15 3.889D-14 1.692D-12 0.000D+00 1.114D-11
   9.0    1.449D-20 2.667D-20 8.254D-20 3.947D-19 2.833D-18 3.122D-17 5.184D-16 1.597D-14 1.002D-12 0.000D+00

   temperature cinetique=   440.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.261D-11 7.827D-12 2.617D-12 5.977D-13 1.522D-13 3.828D-14 9.193D-15 2.188D-15 4.578D-16
   1.0    9.548D-11 0.000D+00 5.653D-11 9.256D-12 2.735D-12 6.437D-13 1.545D-13 3.796D-14 8.900D-15 1.851D-15
   2.0    1.634D-11 5.267D-11 0.000D+00 5.242D-11 7.733D-12 1.976D-12 4.618D-13 1.063D-13 2.512D-14 5.145D-15
   3.0    3.213D-12 5.071D-12 3.083D-11 0.000D+00 4.389D-11 6.097D-12 1.353D-12 3.073D-13 6.796D-14 1.374D-14
   4.0    2.996D-13 6.118D-13 1.856D-12 1.792D-11 0.000D+00 3.496D-11 4.627D-12 9.137D-13 1.977D-13 3.767D-14
   5.0    2.255D-14 4.255D-14 1.402D-13 7.356D-13 1.033D-11 0.000D+00 2.712D-11 3.404D-12 6.123D-13 1.131D-13
   6.0    1.245D-15 2.242D-15 7.195D-15 3.584D-14 3.003D-13 5.956D-12 0.000D+00 2.079D-11 2.454D-12 3.742D-13
   7.0    4.979D-17 9.176D-17 2.758D-16 1.356D-15 9.874D-15 1.245D-13 3.461D-12 0.000D+00 1.581D-11 1.715D-12
   8.0    1.524D-18 2.766D-18 8.380D-18 3.854D-17 2.747D-16 2.878D-15 5.254D-14 2.032D-12 0.000D+00 1.211D-11
   9.0    3.216D-20 5.802D-20 1.731D-19 7.860D-19 5.280D-18 5.363D-17 8.081D-16 2.225D-14 1.222D-12 0.000D+00

   temperature cinetique=   460.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.381D-11 8.128D-12 2.781D-12 6.494D-13 1.690D-13 4.346D-14 1.066D-14 2.593D-15 5.553D-16
   1.0    9.943D-11 0.000D+00 5.839D-11 9.738D-12 2.946D-12 7.096D-13 1.741D-13 4.375D-14 1.048D-14 2.231D-15
   2.0    1.763D-11 5.580D-11 0.000D+00 5.447D-11 8.216D-12 2.152D-12 5.151D-13 1.213D-13 2.933D-14 6.150D-15
   3.0    3.683D-12 5.683D-12 3.326D-11 0.000D+00 4.594D-11 6.541D-12 1.489D-12 3.467D-13 7.851D-14 1.625D-14
   4.0    3.690D-13 7.376D-13 2.153D-12 1.971D-11 0.000D+00 3.689D-11 5.013D-12 1.017D-12 2.257D-13 4.406D-14
   5.0    3.018D-14 5.585D-14 1.772D-13 8.823D-13 1.159D-11 0.000D+00 2.883D-11 3.724D-12 6.885D-13 1.305D-13
   6.0    1.834D-15 3.238D-15 1.002D-14 4.747D-14 3.723D-13 6.812D-12 0.000D+00 2.226D-11 2.710D-12 4.248D-13
   7.0    8.151D-17 1.474D-16 4.276D-16 2.001D-15 1.368D-14 1.594D-13 4.032D-12 0.000D+00 1.704D-11 1.909D-12
   8.0    2.801D-18 4.991D-18 1.461D-17 6.405D-17 4.291D-16 4.165D-15 6.938D-14 2.409D-12 0.000D+00 1.312D-11
   9.0    6.720D-20 1.190D-19 3.432D-19 1.485D-18 9.382D-18 8.839D-17 1.218D-15 3.022D-14 1.469D-12 0.000D+00

   temperature cinetique=   480.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.498D-11 8.422D-12 2.945D-12 7.024D-13 1.865D-13 4.903D-14 1.228D-14 3.049D-15 6.681D-16
   1.0    1.033D-10 0.000D+00 6.021D-11 1.022D-11 3.160D-12 7.782D-13 1.950D-13 5.008D-14 1.226D-14 2.669D-15
   2.0    1.891D-11 5.888D-11 0.000D+00 5.647D-11 8.699D-12 2.333D-12 5.713D-13 1.375D-13 3.400D-14 7.295D-15
   3.0    4.181D-12 6.317D-12 3.570D-11 0.000D+00 4.797D-11 6.990D-12 1.631D-12 3.888D-13 9.006D-14 1.908D-14
   4.0    4.478D-13 8.774D-13 2.470D-12 2.154D-11 0.000D+00 3.879D-11 5.407D-12 1.125D-12 2.559D-13 5.116D-14
   5.0    3.956D-14 7.189D-14 2.203D-13 1.044D-12 1.290D-11 0.000D+00 3.054D-11 4.054D-12 7.697D-13 1.495D-13
   6.0    2.628D-15 4.552D-15 1.363D-14 6.158D-14 4.544D-13 7.717D-12 0.000D+00 2.374D-11 2.978D-12 4.794D-13
   7.0    1.288D-16 2.287D-16 6.421D-16 2.872D-15 1.850D-14 2.004D-13 4.645D-12 0.000D+00 1.830D-11 2.114D-12
   8.0    4.927D-18 8.627D-18 2.447D-17 1.025D-16 6.487D-16 5.865D-15 8.979D-14 2.821D-12 0.000D+00 1.415D-11
   9.0    1.331D-19 2.316D-19 6.472D-19 2.678D-18 1.599D-17 1.405D-16 1.782D-15 4.017D-14 1.744D-12 0.000D+00

   temperature cinetique=   500.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.611D-11 8.708D-12 3.109D-12 7.568D-13 2.049D-13 5.500D-14 1.405D-14 3.559D-15 7.979D-16
   1.0    1.070D-10 0.000D+00 6.198D-11 1.069D-11 3.377D-12 8.496D-13 2.173D-13 5.696D-14 1.423D-14 3.170D-15
   2.0    2.019D-11 6.192D-11 0.000D+00 5.843D-11 9.182D-12 2.519D-12 6.304D-13 1.550D-13 3.913D-14 8.590D-15
   3.0    4.705D-12 6.970D-12 3.813D-11 0.000D+00 4.996D-11 7.442D-12 1.778D-12 4.335D-13 1.026D-13 2.225D-14
   4.0    5.364D-13 1.031D-12 2.807D-12 2.340D-11 0.000D+00 4.069D-11 5.808D-12 1.238D-12 2.884D-13 5.902D-14
   5.0    5.090D-14 9.093D-14 2.698D-13 1.222D-12 1.426D-11 0.000D+00 3.225D-11 4.394D-12 8.556D-13 1.703D-13
   6.0    3.672D-15 6.251D-15 1.815D-14 7.846D-14 5.469D-13 8.668D-12 0.000D+00 2.524D-11 3.255D-12 5.380D-13
   7.0    1.970D-16 3.442D-16 9.371D-16 4.018D-15 2.450D-14 2.481D-13 5.301D-12 0.000D+00 1.958D-11 2.330D-12
   8.0    8.331D-18 1.435D-17 3.951D-17 1.588D-16 9.525D-16 8.063D-15 1.141D-13 3.268D-12 0.000D+00 1.520D-11
   9.0    2.514D-19 4.304D-19 1.168D-18 4.634D-18 2.624D-17 2.161D-16 2.540D-15 5.236D-14 2.047D-12 0.000D+00

   temperature cinetique=   520.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.721D-11 8.986D-12 3.273D-12 8.123D-13 2.241D-13 6.137D-14 1.599D-14 4.127D-15 9.461D-16
   1.0    1.106D-10 0.000D+00 6.371D-11 1.116D-11 3.597D-12 9.236D-13 2.409D-13 6.442D-14 1.641D-14 3.738D-15
   2.0    2.146D-11 6.491D-11 0.000D+00 6.034D-11 9.664D-12 2.709D-12 6.924D-13 1.736D-13 4.476D-14 1.005D-14
   3.0    5.253D-12 7.641D-12 4.055D-11 0.000D+00 5.191D-11 7.898D-12 1.930D-12 4.809D-13 1.163D-13 2.577D-14
   4.0    6.349D-13 1.199D-12 3.163D-12 2.528D-11 0.000D+00 4.256D-11 6.215D-12 1.357D-12 3.232D-13 6.766D-14
   5.0    6.441D-14 1.132D-13 3.259D-13 1.414D-12 1.565D-11 0.000D+00 3.396D-11 4.743D-12 9.462D-13 1.929D-13
   6.0    5.018D-15 8.403D-15 2.370D-14 9.833D-14 6.501D-13 9.662D-12 0.000D+00 2.674D-11 3.543D-12 6.005D-13
   7.0    2.931D-16 5.040D-16 1.333D-15 5.495D-15 3.183D-14 3.026D-13 5.998D-12 0.000D+00 2.087D-11 2.556D-12
   8.0    1.360D-17 2.307D-17 6.176D-17 2.387D-16 1.363D-15 1.085D-14 1.428D-13 3.751D-12 0.000D+00 1.628D-11
   9.0    4.553D-19 7.675D-19 2.025D-18 7.728D-18 4.166D-17 3.230D-16 3.534D-15 6.707D-14 2.377D-12 0.000D+00

   temperature cinetique=   540.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.828D-11 9.257D-12 3.437D-12 8.690D-13 2.441D-13 6.814D-14 1.808D-14 4.756D-15 1.114D-15
   1.0    1.142D-10 0.000D+00 6.539D-11 1.162D-11 3.819D-12 1.000D-12 2.658D-13 7.246D-14 1.881D-14 4.379D-15
   2.0    2.272D-11 6.785D-11 0.000D+00 6.222D-11 1.014D-11 2.903D-12 7.571D-13 1.936D-13 5.090D-14 1.168D-14
   3.0    5.825D-12 8.328D-12 4.296D-11 0.000D+00 5.384D-11 8.355D-12 2.087D-12 5.309D-13 1.310D-13 2.968D-14
   4.0    7.435D-13 1.381D-12 3.537D-12 2.718D-11 0.000D+00 4.442D-11 6.628D-12 1.480D-12 3.603D-13 7.712D-14
   5.0    8.029D-14 1.391D-13 3.890D-13 1.621D-12 1.707D-11 0.000D+00 3.566D-11 5.099D-12 1.041D-12 2.172D-13
   6.0    6.722D-15 1.108D-14 3.043D-14 1.214D-13 7.641D-13 1.070D-11 0.000D+00 2.825D-11 3.840D-12 6.670D-13
   7.0    4.251D-16 7.201D-16 1.854D-15 7.363D-15 4.065D-14 3.645D-13 6.733D-12 0.000D+00 2.218D-11 2.792D-12
   8.0    2.151D-17 3.597D-17 9.379D-17 3.494D-16 1.905D-15 1.432D-14 1.761D-13 4.267D-12 0.000D+00 1.737D-11
   9.0    7.937D-19 1.319D-18 3.389D-18 1.247D-17 6.419D-17 4.704D-16 4.815D-15 8.457D-14 2.736D-12 0.000D+00

   temperature cinetique=   560.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.932D-11 9.520D-12 3.600D-12 9.266D-13 2.648D-13 7.531D-14 2.035D-14 5.448D-15 1.305D-15
   1.0    1.176D-10 0.000D+00 6.704D-11 1.208D-11 4.043D-12 1.079D-12 2.919D-13 8.109D-14 2.144D-14 5.100D-15
   2.0    2.397D-11 7.075D-11 0.000D+00 6.405D-11 1.062D-11 3.100D-12 8.244D-13 2.148D-13 5.756D-14 1.349D-14
   3.0    6.419D-12 9.028D-12 4.536D-11 0.000D+00 5.573D-11 8.814D-12 2.247D-12 5.834D-13 1.468D-13 3.398D-14
   4.0    8.624D-13 1.577D-12 3.927D-12 2.909D-11 0.000D+00 4.625D-11 7.046D-12 1.607D-12 3.998D-13 8.743D-14
   5.0    9.873D-14 1.686D-13 4.591D-13 1.843D-12 1.853D-11 0.000D+00 3.736D-11 5.463D-12 1.141D-12 2.435D-13
   6.0    8.844D-15 1.437D-14 3.845D-14 1.480D-13 8.890D-13 1.177D-11 0.000D+00 2.977D-11 4.147D-12 7.375D-13
   7.0    6.024D-16 1.006D-15 2.526D-15 9.688D-15 5.113D-14 4.338D-13 7.505D-12 0.000D+00 2.350D-11 3.037D-12
   8.0    3.306D-17 5.454D-17 1.387D-16 4.994D-16 2.606D-15 1.857D-14 2.143D-13 4.817D-12 0.000D+00 1.849D-11
   9.0    1.337D-18 2.191D-18 5.493D-18 1.953D-17 9.628D-17 6.693D-16 6.437D-15 1.051D-13 3.123D-12 0.000D+00

   temperature cinetique=   580.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.033D-11 9.777D-12 3.763D-12 9.852D-13 2.863D-13 8.288D-14 2.279D-14 6.207D-15 1.519D-15
   1.0    1.210D-10 0.000D+00 6.864D-11 1.253D-11 4.269D-12 1.160D-12 3.193D-13 9.032D-14 2.431D-14 5.905D-15
   2.0    2.520D-11 7.359D-11 0.000D+00 6.584D-11 1.110D-11 3.301D-12 8.943D-13 2.373D-13 6.476D-14 1.551D-14
   3.0    7.033D-12 9.741D-12 4.774D-11 0.000D+00 5.759D-11 9.274D-12 2.412D-12 6.385D-13 1.636D-13 3.869D-14
   4.0    9.915D-13 1.787D-12 4.333D-12 3.101D-11 0.000D+00 4.807D-11 7.467D-12 1.739D-12 4.415D-13 9.862D-14
   5.0    1.199D-13 2.021D-13 5.365D-13 2.079D-12 2.001D-11 0.000D+00 3.904D-11 5.834D-12 1.245D-12 2.716D-13
   6.0    1.145D-14 1.835D-14 4.792D-14 1.783D-13 1.025D-12 1.287D-11 0.000D+00 3.129D-11 4.461D-12 8.120D-13
   7.0    8.363D-16 1.379D-15 3.378D-15 1.254D-14 6.342D-14 5.110D-13 8.312D-12 0.000D+00 2.484D-11 3.293D-12
   8.0    4.952D-17 8.066D-17 2.004D-16 6.985D-16 3.500D-15 2.371D-14 2.577D-13 5.400D-12 0.000D+00 1.962D-11
   9.0    2.184D-18 3.533D-18 8.652D-18 2.978D-17 1.409D-16 9.322D-16 8.456D-15 1.290D-13 3.538D-12 0.000D+00

   temperature cinetique=   600.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.131D-11 1.003D-11 3.925D-12 1.045D-12 3.084D-13 9.085D-14 2.540D-14 7.036D-15 1.758D-15
   1.0    1.243D-10 0.000D+00 7.021D-11 1.298D-11 4.496D-12 1.243D-12 3.480D-13 1.002D-13 2.742D-14 6.802D-15
   2.0    2.642D-11 7.639D-11 0.000D+00 6.759D-11 1.157D-11 3.505D-12 9.667D-13 2.610D-13 7.251D-14 1.773D-14
   3.0    7.665D-12 1.046D-11 5.010D-11 0.000D+00 5.942D-11 9.735D-12 2.581D-12 6.960D-13 1.816D-13 4.385D-14
   4.0    1.131D-12 2.010D-12 4.754D-12 3.294D-11 0.000D+00 4.986D-11 7.893D-12 1.875D-12 4.854D-13 1.107D-13
   5.0    1.441D-13 2.398D-13 6.213D-13 2.328D-12 2.152D-11 0.000D+00 4.072D-11 6.211D-12 1.354D-12 3.016D-13
   6.0    1.460D-14 2.309D-14 5.896D-14 2.124D-13 1.172D-12 1.401D-11 0.000D+00 3.280D-11 4.784D-12 8.906D-13
   7.0    1.139D-15 1.854D-15 4.441D-15 1.598D-14 7.767D-14 5.962D-13 9.153D-12 0.000D+00 2.618D-11 3.557D-12
   8.0    7.247D-17 1.166D-16 2.834D-16 9.580D-16 4.619D-15 2.984D-14 3.066D-13 6.014D-12 0.000D+00 2.078D-11
   9.0    3.469D-18 5.542D-18 1.327D-17 4.430D-17 2.018D-16 1.274D-15 1.093D-14 1.565D-13 3.980D-12 0.000D+00

   temperature cinetique=   620.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.227D-11 1.027D-11 4.085D-12 1.105D-12 3.311D-13 9.921D-14 2.820D-14 7.936D-15 2.025D-15
   1.0    1.275D-10 0.000D+00 7.174D-11 1.342D-11 4.724D-12 1.328D-12 3.779D-13 1.106D-13 3.078D-14 7.795D-15
   2.0    2.763D-11 7.913D-11 0.000D+00 6.931D-11 1.204D-11 3.711D-12 1.042D-12 2.859D-13 8.082D-14 2.017D-14
   3.0    8.314D-12 1.120D-11 5.243D-11 0.000D+00 6.121D-11 1.019D-11 2.753D-12 7.559D-13 2.008D-13 4.946D-14
   4.0    1.281D-12 2.245D-12 5.189D-12 3.487D-11 0.000D+00 5.163D-11 8.321D-12 2.015D-12 5.317D-13 1.237D-13
   5.0    1.713D-13 2.818D-13 7.136D-13 2.591D-12 2.304D-11 0.000D+00 4.239D-11 6.593D-12 1.466D-12 3.335D-13
   6.0    1.837D-14 2.869D-14 7.169D-14 2.505D-13 1.329D-12 1.517D-11 0.000D+00 3.432D-11 5.114D-12 9.730D-13
   7.0    1.525D-15 2.453D-15 5.749D-15 2.009D-14 9.404D-14 6.894D-13 1.002D-11 0.000D+00 2.753D-11 3.831D-12
   8.0    1.038D-16 1.651D-16 3.930D-16 1.290D-15 6.000D-15 3.707D-14 3.612D-13 6.658D-12 0.000D+00 2.194D-11
   9.0    5.371D-18 8.478D-18 1.989D-17 6.447D-17 2.832D-16 1.710D-15 1.394D-14 1.879D-13 4.449D-12 0.000D+00

   temperature cinetique=   640.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.321D-11 1.051D-11 4.245D-12 1.166D-12 3.545D-13 1.080D-13 3.117D-14 8.911D-15 2.320D-15
   1.0    1.306D-10 0.000D+00 7.323D-11 1.385D-11 4.954D-12 1.416D-12 4.090D-13 1.217D-13 3.441D-14 8.890D-15
   2.0    2.882D-11 8.183D-11 0.000D+00 7.099D-11 1.251D-11 3.920D-12 1.119D-12 3.121D-13 8.971D-14 2.284D-14
   3.0    8.980D-12 1.193D-11 5.475D-11 0.000D+00 6.298D-11 1.065D-11 2.928D-12 8.182D-13 2.210D-13 5.554D-14
   4.0    1.441D-12 2.494D-12 5.636D-12 3.679D-11 0.000D+00 5.338D-11 8.752D-12 2.159D-12 5.801D-13 1.377D-13
   5.0    2.018D-13 3.282D-13 8.134D-13 2.867D-12 2.458D-11 0.000D+00 4.404D-11 6.981D-12 1.583D-12 3.674D-13
   6.0    2.283D-14 3.524D-14 8.626D-14 2.928D-13 1.498D-12 1.637D-11 0.000D+00 3.583D-11 5.451D-12 1.059D-12
   7.0    2.010D-15 3.197D-15 7.338D-15 2.494D-14 1.127D-13 7.909D-13 1.093D-11 0.000D+00 2.889D-11 4.114D-12
   8.0    1.459D-16 2.294D-16 5.353D-16 1.710D-15 7.683D-15 4.551D-14 4.218D-13 7.332D-12 0.000D+00 2.312D-11
   9.0    8.122D-18 1.268D-17 2.915D-17 9.192D-17 3.902D-16 2.260D-15 1.754D-14 2.233D-13 4.946D-12 0.000D+00

   temperature cinetique=   660.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.412D-11 1.074D-11 4.404D-12 1.227D-12 3.785D-13 1.171D-13 3.434D-14 9.963D-15 2.647D-15
   1.0    1.337D-10 0.000D+00 7.469D-11 1.428D-11 5.184D-12 1.505D-12 4.412D-13 1.334D-13 3.830D-14 1.009D-14
   2.0    2.999D-11 8.448D-11 0.000D+00 7.263D-11 1.297D-11 4.131D-12 1.198D-12 3.396D-13 9.917D-14 2.575D-14
   3.0    9.659D-12 1.268D-11 5.704D-11 0.000D+00 6.471D-11 1.111D-11 3.107D-12 8.827D-13 2.424D-13 6.211D-14
   4.0    1.610D-12 2.755D-12 6.095D-12 3.872D-11 0.000D+00 5.511D-11 9.185D-12 2.307D-12 6.308D-13 1.527D-13
   5.0    2.357D-13 3.793D-13 9.208D-13 3.154D-12 2.614D-11 0.000D+00 4.569D-11 7.373D-12 1.703D-12 4.033D-13
   6.0    2.805D-14 4.281D-14 1.028D-13 3.394D-13 1.677D-12 1.758D-11 0.000D+00 3.734D-11 5.794D-12 1.150D-12
   7.0    2.612D-15 4.108D-15 9.247D-15 3.061D-14 1.337D-13 9.007D-13 1.186D-11 0.000D+00 3.025D-11 4.405D-12
   8.0    2.013D-16 3.133D-16 7.172D-16 2.232D-15 9.708D-15 5.525D-14 4.885D-13 8.034D-12 0.000D+00 2.431D-11
   9.0    1.202D-17 1.857D-17 4.188D-17 1.286D-16 5.286D-16 2.943D-15 2.180D-14 2.631D-13 5.468D-12 0.000D+00

   temperature cinetique=   680.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.501D-11 1.096D-11 4.561D-12 1.289D-12 4.031D-13 1.266D-13 3.768D-14 1.109D-14 3.006D-15
   1.0    1.366D-10 0.000D+00 7.612D-11 1.470D-11 5.414D-12 1.595D-12 4.746D-13 1.457D-13 4.246D-14 1.141D-14
   2.0    3.115D-11 8.708D-11 0.000D+00 7.424D-11 1.343D-11 4.344D-12 1.280D-12 3.682D-13 1.092D-13 2.892D-14
   3.0    1.035D-11 1.343D-11 5.930D-11 0.000D+00 6.641D-11 1.157D-11 3.288D-12 9.495D-13 2.649D-13 6.919D-14
   4.0    1.790D-12 3.028D-12 6.566D-12 4.064D-11 0.000D+00 5.681D-11 9.619D-12 2.457D-12 6.836D-13 1.687D-13
   5.0    2.731D-13 4.351D-13 1.036D-12 3.454D-12 2.771D-11 0.000D+00 4.731D-11 7.768D-12 1.827D-12 4.411D-13
   6.0    3.411D-14 5.149D-14 1.213D-13 3.904D-13 1.866D-12 1.882D-11 0.000D+00 3.885D-11 6.143D-12 1.244D-12
   7.0    3.348D-15 5.212D-15 1.151D-14 3.717D-14 1.572D-13 1.019D-12 1.281D-11 0.000D+00 3.162D-11 4.704D-12
   8.0    2.732D-16 4.210D-16 9.465D-16 2.874D-15 1.212D-14 6.641D-14 5.614D-13 8.763D-12 0.000D+00 2.552D-11
   9.0    1.745D-17 2.667D-17 5.908D-17 1.770D-16 7.051D-16 3.780D-15 2.680D-14 3.074D-13 6.016D-12 0.000D+00

   temperature cinetique=   700.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.587D-11 1.118D-11 4.717D-12 1.351D-12 4.282D-13 1.365D-13 4.122D-14 1.231D-14 3.400D-15
   1.0    1.395D-10 0.000D+00 7.751D-11 1.511D-11 5.645D-12 1.688D-12 5.091D-13 1.587D-13 4.690D-14 1.285D-14
   2.0    3.228D-11 8.963D-11 0.000D+00 7.582D-11 1.389D-11 4.559D-12 1.363D-12 3.981D-13 1.199D-13 3.234D-14
   3.0    1.106D-11 1.418D-11 6.154D-11 0.000D+00 6.809D-11 1.203D-11 3.472D-12 1.019D-12 2.885D-13 7.679D-14
   4.0    1.980D-12 3.312D-12 7.046D-12 4.256D-11 0.000D+00 5.849D-11 1.005D-11 2.611D-12 7.385D-13 1.857D-13
   5.0    3.141D-13 4.957D-13 1.158D-12 3.764D-12 2.929D-11 0.000D+00 4.893D-11 8.168D-12 1.954D-12 4.810D-13
   6.0    4.108D-14 6.137D-14 1.421D-13 4.460D-13 2.066D-12 2.008D-11 0.000D+00 4.035D-11 6.498D-12 1.342D-12
   7.0    4.240D-15 6.536D-15 1.418D-14 4.470D-14 1.834D-13 1.145D-12 1.379D-11 0.000D+00 3.298D-11 5.011D-12
   8.0    3.653D-16 5.575D-16 1.232D-15 3.653D-15 1.496D-14 7.908D-14 6.408D-13 9.517D-12 0.000D+00 2.673D-11
   9.0    2.487D-17 3.765D-17 8.194D-17 2.397D-16 9.272D-16 4.797D-15 3.262D-14 3.564D-13 6.588D-12 0.000D+00

   temperature cinetique=   720.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.672D-11 1.139D-11 4.871D-12 1.414D-12 4.538D-13 1.467D-13 4.494D-14 1.360D-14 3.830D-15
   1.0    1.424D-10 0.000D+00 7.888D-11 1.552D-11 5.876D-12 1.781D-12 5.447D-13 1.722D-13 5.163D-14 1.442D-14
   2.0    3.340D-11 9.214D-11 0.000D+00 7.737D-11 1.434D-11 4.775D-12 1.449D-12 4.291D-13 1.311D-13 3.605D-14
   3.0    1.177D-11 1.494D-11 6.375D-11 0.000D+00 6.973D-11 1.248D-11 3.659D-12 1.090D-12 3.132D-13 8.492D-14
   4.0    2.179D-12 3.607D-12 7.535D-12 4.447D-11 0.000D+00 6.015D-11 1.049D-11 2.768D-12 7.955D-13 2.037D-13
   5.0    3.589D-13 5.613D-13 1.288D-12 4.086D-12 3.087D-11 0.000D+00 5.053D-11 8.570D-12 2.085D-12 5.228D-13
   6.0    4.903D-14 7.253D-14 1.651D-13 5.061D-13 2.275D-12 2.135D-11 0.000D+00 4.184D-11 6.858D-12 1.444D-12
   7.0    5.309D-15 8.106D-15 1.729D-14 5.328D-14 2.123D-13 1.280D-12 1.479D-11 0.000D+00 3.435D-11 5.326D-12
   8.0    4.816D-16 7.283D-16 1.583D-15 4.590D-15 1.828D-14 9.337D-14 7.266D-13 1.030D-11 0.000D+00 2.795D-11
   9.0    3.486D-17 5.227D-17 1.119D-16 3.199D-16 1.203D-15 6.017D-15 3.932D-14 4.103D-13 7.185D-12 0.000D+00

   temperature cinetique=   740.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.754D-11 1.160D-11 5.024D-12 1.477D-12 4.799D-13 1.573D-13 4.885D-14 1.498D-14 4.299D-15
   1.0    1.451D-10 0.000D+00 8.022D-11 1.592D-11 6.106D-12 1.877D-12 5.813D-13 1.864D-13 5.664D-14 1.611D-14
   2.0    3.450D-11 9.461D-11 0.000D+00 7.888D-11 1.479D-11 4.993D-12 1.536D-12 4.614D-13 1.429D-13 4.003D-14
