Data taken from the website: http://massey.dur.ac.uk/drf/HD_H/H-HD.rate_coefficients
   10
      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000   128.400
      0.000     0.000     0.000     0.000     0.000     2.000     0.000     2.000     2.000   384.200
      0.000     0.000     0.000     0.000     0.000     3.000     0.000     3.000     3.000   765.900
      0.000     0.000     0.000     0.000     0.000     4.000     0.000     4.000     4.000  1270.700
      0.000     0.000     0.000     0.000     0.000     5.000     0.000     5.000     5.000  1895.300
      0.000     0.000     0.000     0.000     0.000     6.000     0.000     6.000     6.000  2635.800
      0.000     0.000     0.000     0.000     0.000     7.000     0.000     7.000     7.000  3487.500
      0.000     0.000     0.000     0.000     0.000     8.000     0.000     8.000     8.000  4445.100
      0.000     0.000     0.000     0.000     0.000     9.000     0.000     9.000     9.000  5503.300



 6.1D-35 3.6D-34 5.7D-33 3.0D-31 3.4D-29 1.3D-26 2.2D-23 1.0D-19 2.2D-15 9.9D-10



T = 160. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.1D-09 2.1D-11 8.9D-13 6.0D-14 9.6D-15 9.6D-16 4.9D-17 1.8D-17 4.6D-18 4.7D-19
 2.9D-11 1.0D-09 2.7D-11 1.1D-12 6.7D-14 5.1D-15 8.3D-16 1.2D-16 1.8D-17 3.4D-18
 4.0D-13 9.2D-12 1.1D-09 2.5D-11 1.1D-12 4.6D-14 4.0D-15 1.0D-15 1.3D-16 1.4D-17
 3.5D-15 4.9D-14 3.2D-12 1.1D-09 2.0D-11 8.4D-13 3.2D-14 3.0D-15 6.3D-16 6.8D-17
 3.1D-17 1.6D-16 7.6D-15 1.1D-12 1.1D-09 1.5D-11 6.6D-13 2.6D-14 2.0D-15 2.7D-16
 7.6D-20 3.0D-19 8.0D-18 1.1D-15 3.7D-13 1.0D-09 1.3D-11 4.2D-13 2.2D-14 1.5D-15
 4.5D-23 5.6D-22 8.0D-21 5.1D-19 1.9D-16 1.5D-13 1.0D-09 8.6D-12 2.8D-13 1.5D-14
 9.0D-26 4.4D-25 1.2D-23 2.6D-22 4.2D-20 2.7D-17 4.8D-14 1.1D-09 6.3D-12 1.8D-13
 6.7D-29 2.0D-28 4.1D-27 1.6D-25 9.3D-24 4.0D-21 4.5D-18 1.8D-14 1.0D-09 4.5D-12
 1.0D-32 5.5D-32 6.8D-31 2.6D-29 1.9D-27 4.1D-25 3.5D-22 7.6D-19 6.8D-15 1.0D-09



T = 180. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.1D-09 2.4D-11 1.0D-12 6.8D-14 1.0D-14 1.1D-15 6.0D-17 2.2D-17 5.7D-18 5.9D-19
 3.5D-11 1.1D-09 3.0D-11 1.3D-12 7.7D-14 6.1D-15 9.8D-16 1.4D-16 2.3D-17 4.2D-18
 6.1D-13 1.2D-11 1.1D-09 2.8D-11 1.2D-12 5.5D-14 4.7D-15 1.2D-15 1.5D-16 1.7D-17
 6.7D-15 8.8D-14 4.6D-12 1.1D-09 2.2D-11 9.8D-13 3.9D-14 3.6D-15 7.6D-16 8.3D-17
 7.9D-17 4.1D-16 1.6D-14 1.7D-12 1.1D-09 1.7D-11 7.6D-13 3.2D-14 2.5D-15 3.4D-16
 3.2D-19 1.2D-18 2.7D-17 2.9D-15 6.4D-13 1.1D-09 1.4D-11 5.0D-13 2.6D-14 1.8D-15
 3.4D-22 3.8D-21 4.5D-20 2.2D-18 5.6D-16 2.7D-13 1.1D-09 9.9D-12 3.3D-13 1.8D-14
 1.3D-24 5.4D-24 1.2D-22 2.1D-21 2.4D-19 9.8D-17 1.0D-13 1.2D-09 7.3D-12 2.1D-13
 1.8D-27 4.9D-27 8.1D-26 2.5D-24 1.0D-22 2.8D-20 1.9D-17 4.0D-14 1.1D-09 5.3D-12
 5.9D-31 2.9D-30 2.9D-29 8.3D-28 4.3D-26 6.1D-24 3.1D-21 3.7D-18 1.6D-14 1.1D-09



T = 200. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.2D-09 2.6D-11 1.2D-12 7.7D-14 1.1D-14 1.2D-15 7.4D-17 2.7D-17 7.0D-18 7.3D-19
 4.0D-11 1.1D-09 3.2D-11 1.5D-12 8.8D-14 7.3D-15 1.1D-15 1.6D-16 2.8D-17 5.2D-18
 8.5D-13 1.5D-11 1.1D-09 3.0D-11 1.4D-12 6.5D-14 5.5D-15 1.4D-15 1.8D-16 2.1D-17
 1.2D-14 1.4D-13 6.2D-12 1.2D-09 2.5D-11 1.1D-12 4.6D-14 4.3D-15 9.2D-16 9.9D-17
 1.7D-16 8.7D-16 3.1D-14 2.5D-12 1.1D-09 1.9D-11 8.6D-13 3.8D-14 3.1D-15 4.1D-16
 1.0D-18 3.9D-18 7.5D-17 6.3D-15 1.0D-12 1.1D-09 1.5D-11 5.9D-13 3.1D-14 2.2D-15
 1.8D-21 1.8D-20 1.8D-19 7.4D-18 1.3D-15 4.5D-13 1.2D-09 1.1D-11 4.0D-13 2.1D-14
 1.1D-23 4.1D-23 7.6D-22 1.1D-20 9.7D-19 2.8D-16 1.8D-13 1.2D-09 8.4D-12 2.5D-13
 2.6D-26 6.7D-26 9.2D-25 2.3D-23 7.4D-22 1.4D-19 6.1D-17 7.9D-14 1.1D-09 6.1D-12
 1.5D-29 7.1D-29 6.1D-28 1.4D-26 5.6D-25 5.5D-23 1.8D-20 1.3D-17 3.4D-14 1.1D-09



T = 220. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.2D-09 2.8D-11 1.3D-12 8.6D-14 1.2D-14 1.4D-15 9.1D-17 3.3D-17 8.4D-18 8.9D-19
 4.6D-11 1.1D-09 3.5D-11 1.7D-12 9.9D-14 8.5D-15 1.3D-15 1.9D-16 3.4D-17 6.4D-18
 1.2D-12 1.8D-11 1.2D-09 3.3D-11 1.6D-12 7.7D-14 6.4D-15 1.6D-15 2.1D-16 2.5D-17
 1.9D-14 2.2D-13 8.1D-12 1.2D-09 2.7D-11 1.3D-12 5.4D-14 5.1D-15 1.1D-15 1.2D-16
 3.3D-16 1.7D-15 5.2D-14 3.5D-12 1.2D-09 2.1D-11 9.7D-13 4.5D-14 3.7D-15 4.9D-16
